Office,Item,Serial No.,Date of Purchase,Make,Model,Remarks
,LASER PRINTER,CNCHB61601,2018,Hp,HP LASERJET 1020 PLUS,
,CPU,UQVQNSI244J0260675,2019,Acer,ACER VERITON,
,MONITOR,MMLY0SS0118500F5DA8525,2019,Acer,ACER 196HQL,
,DOT MATRIX PRINTER,Q7DY061541,2018,Epson,EPSON LX-310,
,CPU,UQVQNSI244J0260729,2018,Acer,ACER-VERITON,
,MONITOR,730012073314,2017,Acer,ACER-EB192Q,
,DOT MATRIX PRINTER,VBY7LA001563,2023,TVS,TVS ,
,CPU,UXVTUSI333M2088878,2020,Acer,ACER-VERITON,
,MONITOR,CNC9090PYY,2019,CPMPAQ,CPMPAQ ,
,DOT MATRIX PRINTER,Q7EY141604,2018,Epson,EPSON LX-310,
,CPU,INA114XSQ2,2012,Hp,HP PRO 3090MT,
,MONITOR,85006291985,2018,Acer,ACER -V196HQL,
,LASER PRINTER,0AN28GHAA0246R,2017,Samsung,SAMSUG EXPRESS,
,CPU,UXVQNSI244J0260733,2018,Acer,ACER VERITON,
,MONITOR,75204780385,2018,Acer,ACER-V196HQL,
,LASER PRINTER,E73793L3N467907,2024,BROTHER,BROTHER,
,CPU,UXB1JSII11I0435101,2020,Acer-ng,ACER-VERITON,
,MONITOR,6CM521135L,2015,Hp,HP V192,
,LASER PRINTER,VNFNP09029,2010,HP,HP LASERJET P1006,
,CPU,21H1262023B50697,2024,HLBS,HLBS,
,MONITOR,9I003234201872,2024,HLBS,HLBS,
,CPU,INA04503DS,2016,HP,HP PRO3090 MT,
,MONITOR,MMV0CSI001421023EB4HAI,2024,Acer,ACER K202Q,
,LASER PRINTER,CNCHB78800,2018,HP,HP LASER JET 1020 PLUS,
,CPU,UXVTUSI333M2089305,2022,Acer,ACER-VERITON,
,MONITOR,22402742285,2022,Acer,ACER-V226HQL,
,PB PRINTER,X23T052005,2020,Epson,EPSON PLQ-30,
,CPU,UXVTUSI333M2089537,2022,Acer,ACER VERITON,
,MONITOR,22401969885,2022,Acer,ACER V226HQL,
,PB PRINTER,X23T052108,2020,HP,EPSON PLQ 30,
,CPU,1NI30301D6,2022,HP,HP 285 PRO,
,MONITOR,CNK24700F6,2022,HP,HPV22V,
,PB PRINTER,320051288,2018,OLIVETTY,OLIVETTY,
,CPU,INA113XHF,2012,HP,HP PRO 3090,
,MONITOR,AOCW1TF2H2300180,2020,AOC,AOC,
,CPU,UXB1JSII11I0905769,2018,Acer,ACER VERITON,
,MONITOR,1N23186343,2023,HP,HP P22VB,
,LASER PRINTER,VNF4822775,2013,HP,HP LASERJET P1108,
,CPU,21H12L2023B50673,2024,HLBS,HLBS,
,MONITOR,9I003234201553,2024,HLBS,HLBS H-22P1IPS,
,LASER PRINTER,0AN2B8GHAA00QVD,2017,Samsung,SAMSUNG EXPRESS,
,CPU,UXVQNSI244J0260683,2018,Acer,ACER VERITON,
,MONITOR,6CM8481T2L,2018,COMPAQ,COMPAQ,
,LASER PRINTER,E73793L3N465655,2024,BROTHER,BROTHER,
,CPU,5103A1419300,2012,HP,HP,
,MONITOR,22002154685,2022,Acerv,ACERV226HQL,
,CPU,UXVQNSI244J0260695,2018,Acer,ACER VERITON,
,MONITOR,85006296485,2018,Acer,ACER V196HQL,
,CPU,1NI3230478,2024,Hp,HP 285 PRO,
,MONITOR,750005427311,2017,Acer,ACER E1900HQ,
,CPU,INA526Y9SL,2018,Hp 40ng,HP 406 G1,
,MONITOR,CNC6230GR6,2018,Hp,HP 19KA,
,PRINTER,2FT35997,2024,CANON,CANON,
,CPU,UXVD9SI140D4405049,2016,Acer ,ACER VERITON,
,MONITOR,33603642685,2013,Acer,ACER P166HQL,
,CPU,UXVD9SI140D4405247,2016,Acer ,ACER VERITON,
,MONITOR,CNC9511GS,2019,COMPAQ,COMPAQ,
,LASER PRINTER,VNC4L05077,2018,HP,HP LASERJET PROM202DW,
,CPU,INA9180734,2012,HP,HP COMPAQ,
,MONITOR,CNC046RY0R,2010,HP,HP LE1851W,
,CPU,UXB1JSIJ74H4382936,2016,Acer ,ACER VERITON,
,MONITOR,64400644842,2016,Acer,ACER K192HQL,
,CPU,INA91806JX,2010,HP,HP COMPAQ,
,MONITOR,6CM7060B37,2017,HP,HP 20KD,
,INKJET PRINTER,XAGS044048,2020,Epson,EPSON L3216,
,CPU,INA045038W,2012,HP,HP PRO 3090,
,MONITOR,RBW01IS09603,2020,ZEBSTER,ZEBSTER,
,LASER PRINTER,NAQA813361,2018,CANON,CANON LBP29001B,
,CPU,21H12L2023B50694,2024,HLBS,HLBS,
,MONITOR,9I003234201574,2024,HLBS,HLBS,
,LASER PRINTER,0AN2B8GHAA00SEF,2016,Samsung,SAMSUNG EXPRESS,
,CPU,21H1L2023B50692,2024,HLBS,HLBS,
,MONITOR,9I003234201644,2024,HLBS,HLBS,
,CPU,INI5150DBR,2012,HP,HP COMPAQ,
,MONITOR,82900386385,2018,Acer,ACER V196HQL,
,LASER PRINTER,0AN2B8GHAA0240V,2016,Samsung,SAMSUNG EXPRESS,
,CPU,INA9180610,2012,HP,HP ,
,MONITOR,AOC1TF2H1755547,2018,AOC,AOC,
,LASER PRINTER,0AN2B8GHAA0243A,2017,Samsung,SAMSUNG EXPRESS,
,CPU,1NI30303MS,2024,Hp,HP 285 PRO,
,MONITOR,75204726285,2017,Acer,ACER V1965QL,
,DOT MATRIX PRINTER,UBH5ED010212,2021,TVS,TVS ,
,LASER PRINTER,VNM1C05929,2021,HP,HP,
,UPS,7212374,2021,Keptron,KEPTRON 560396 VDC,
,UPS,24060145,2024,Supra,SUPRA 5KV,
,UPS,7212376,NA,Hykon,HYKON 5KV,
NEENDOOR,CPU,UXB7JSII11I0436035,NA,Acer,VERITON IC6550,
,MONITOR,MMLXKSS025027134D84251,NA,Acer,V206HQL,
,BAR CODE SCANNER,RBQMLB004578,2116,TVS,BS C101 STAR,
,DOT MATRIX PRINTER,Q7DY151399,2116,Epson,LX 310,
,LASER PRINTER,NAQA815488,2115,CANON,LBP2900B,
,PASSBOOK PRINTER,X7ZT008038,2115,Epson,PLQ 35,
,UPS,10040226,2114,Hykon,AEM 1000,
KAIPUZHA,MONITOR,MMLY0SS0047520B86C8507,2113,HP,V196HQL,
,CPU,UXVQNSI244J0260677,2113,Acer,M200-B350,
,LASER PRINTER,VNF6W05449,2112,HP,HP LASERJET  P1106,
,DOT MATRIX PRINTER,Q7DY154633,2112,Epson,LX 310,
,PASSBOOK PRINTER,X7ZT008079,NA,Epson,PLQ 35,
,UPS,UL-D6K22-A-257,2108,Smartline,SMARTLINE SL 1000,
,BATTERY,,2107,Uniline,UNILINE,
KANAKARI,CPU,UXVQNSI244J0260688,2106,Acer,VERITON M200-B350,
,Monitor,85006297885,2105,Acer,V196HQL,
